DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price
13-10-2024,99999,-1,6,10,41,102368.1429,104933.7857,1883.146695,-5000,101800,99999,102995,104999,109980,11.51292546
14-10-2024,99990,-1,0,10,42,101652.5714,104290.2857,1654.655337,-5009,99999,101800,99999,104999,108999,11.51283546
15-10-2024,99915,-1,1,10,42,101099,103641.4286,1456.752667,-3875,99990,99999,101800,103790,108999,11.51208511
16-10-2024,99452,-1,2,10,42,100592.8571,102959.5,1294.687791,-3543,99915,99990,99999,102995,108999,11.50744045
17-10-2024,99000,-1,3,10,42,100022.1429,102398.7857,870.2680485,-3995,99452,99915,99990,102995,106850,11.50288523
18-10-2024,98999,-1,4,10,42,99879.28571,101839.0714,952.8577568,-1000,99000,99452,99915,99999,106835,11.50287513
19-10-2024,98700,-1,5,10,42,99436.42857,101259.4286,544.1111581,-3100,98999,99000,99452,101800,106815,11.49985036
20-10-2024,98700,0,6,10,42,99250.85714,100809.5,541.7756081,-1299,98700,98999,99000,99999,104999,11.49985036
21-10-2024,98999,1,0,10,43,99109.28571,100380.9286,435.4934804,-991,98700,98700,98999,99990,104999,11.50287513
22-10-2024,98688,-1,1,10,43,98934,100016.5,274.2134205,-1227,98999,98700,98700,99915,103790,11.49972877
23-10-2024,97937,-1,2,10,43,98717.57143,99655.21429,376.1546035,-1515,98688,98999,98700,99452,102995,11.4920899
24-10-2024,97704,-1,3,10,43,98532.42857,99277.28571,509.3410309,-1296,97937,98688,98999,99000,102995,11.48970801
25-10-2024,97462,-1,4,10,43,98312.85714,99096.07143,598.2219289,-1537,97704,97937,98688,98999,99999,11.4872281
26-10-2024,97192,-1,5,10,43,98097.42857,98766.92857,698.6644061,-1508,97462,97704,97937,98700,101800,11.48445397
27-10-2024,97977,1,6,10,43,97994.14286,98622.5,646.2103446,-723,97192,97462,97704,98700,99999,11.49249824
28-10-2024,96999,-1,0,10,44,97708.42857,98408.85714,564.899654,-2000,97977,97192,97462,98999,99990,11.48246626
29-10-2024,96900,-1,1,10,44,97453,98193.5,438.1704387,-1788,96999,97977,97192,98688,99915,11.48144512
30-10-2024,96900,0,2,10,44,97304.85714,98011.21429,422.2733824,-1037,96900,96999,97977,97937,99452,11.48144512
31-10-2024,96600,-1,3,10,44,97147.14286,97839.78571,453.3727049,-1104,96900,96900,96999,97704,99000,11.47834437
01-11-2024,96599,-1,4,11,44,97023.85714,97668.35714,470.498115,-863,96600,96900,96900,97462,98999,11.47833402
02-11-2024,97969,1,5,11,44,97134.85714,97616.14286,592.5913231,777,96599,96600,96900,97192,98700,11.49241659
03-11-2024,97965,-1,6,11,44,97133.14286,97563.64286,589.7596766,-12,97969,96599,96600,97977,98700,11.49237576
04-11-2024,97917,-1,0,11,45,97264.28571,97486.35714,653.5731824,918,97965,97969,96599,96999,98999,11.49188567
05-11-2024,97839,-1,1,11,45,97398.42857,97425.71429,662.6436592,939,97917,97965,97969,96900,98688,11.49108877
06-11-2024,97700,-1,2,11,45,97512.71429,97408.78571,630.5639577,800,97839,97917,97965,96900,97937,11.48966707
07-11-2024,96900,-1,3,11,45,97555.57143,97351.35714,564.9748836,300,97700,97839,97917,96600,97704,11.48144512
08-11-2024,96700,-1,4,11,45,97570,97296.92857,537.0747931,101,96900,97700,97839,96599,97462,11.47937902
09-11-2024,96700,0,5,11,45,97388.71429,97261.78571,591.3745892,-1269,96700,96900,97700,97969,97192,11.47937902
10-11-2024,96700,0,6,11,45,97208,97170.57143,579.0742612,-1265,96700,96700,96900,97965,97977,11.47937902
11-11-2024,94999,-1,0,11,46,96791.14286,97027.71429,928.4909672,-2918,96700,96700,96700,97917,96999,11.46163217
12-11-2024,94999,0,1,11,46,96385.42857,96891.92857,1011.114543,-2840,94999,96700,96700,97839,96900,11.46163217
13-11-2024,97799,1,2,11,46,96399.57143,96956.14286,1033.021597,99,94999,94999,96700,97700,96900,11.49067986
14-11-2024,97650,-1,3,11,46,96506.71429,97031.14286,1128.094812,750,97799,94999,94999,96900,96600,11.48915518
15-11-2024,97477,-1,4,11,46,96617.71429,97093.85714,1186.973422,777,97650,97799,94999,96700,96599,11.48738199
